state,office,updated_at,eevp,place,level,candidate_id,party,votes_total
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,88.94,Arizona,state,gallego-r,Democrat,1500850
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,88.94,Arizona,state,lake-k,Republican,1449464
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,88.94,Arizona,state,quintana-e,Green,64552
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,90.26,Maricopa,county,gallego-r,Democrat,946603
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,90.26,Maricopa,county,lake-k,Republican,867743
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,90.26,Maricopa,county,quintana-e,Green,37841
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,84.73,Pima,county,gallego-r,Democrat,260151
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,84.73,Pima,county,lake-k,Republican,163374
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,84.73,Pima,county,quintana-e,Green,11135
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,98,Pinal,county,lake-k,Republican,114715
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,98,Pinal,county,gallego-r,Democrat,86008
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,98,Pinal,county,quintana-e,Green,4566
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,85,Yavapai,county,lake-k,Republican,80760
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,85,Yavapai,county,gallego-r,Democrat,44271
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,85,Yavapai,county,quintana-e,Green,1985
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,97,Mohave,county,lake-k,Republican,77550
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,97,Mohave,county,gallego-r,Democrat,26121
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,97,Mohave,county,quintana-e,Green,2304
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,97.01,Coconino,county,gallego-r,Democrat,42474
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,97.01,Coconino,county,lake-k,Republican,24538
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,97.01,Coconino,county,quintana-e,Green,1684
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,96,Navajo,county,lake-k,Republican,26945
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,96,Navajo,county,gallego-r,Democrat,21817
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,96,Navajo,county,quintana-e,Green,1048
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,58,Yuma,county,lake-k,Republican,23378
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,58,Yuma,county,gallego-r,Democrat,15778
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,58,Yuma,county,quintana-e,Green,822
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,54.39,Cochise,county,lake-k,Republican,19766
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,54.39,Cochise,county,gallego-r,Democrat,11822
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,54.39,Cochise,county,quintana-e,Green,810
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,86.39,Apache,county,gallego-r,Democrat,17585
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,86.39,Apache,county,lake-k,Republican,10248
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,86.39,Apache,county,quintana-e,Green,574
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,98,Gila,county,lake-k,Republican,17168
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,98,Gila,county,gallego-r,Democrat,9170
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,98,Gila,county,quintana-e,Green,544
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,96,Santa Cruz,county,gallego-r,Democrat,11599
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,96,Santa Cruz,county,lake-k,Republican,6142
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,96,Santa Cruz,county,quintana-e,Green,569
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,99,Graham,county,lake-k,Republican,10385
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,99,Graham,county,gallego-r,Democrat,4235
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,99,Graham,county,quintana-e,Green,373
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,91,La Paz,county,lake-k,Republican,4675
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,91,La Paz,county,gallego-r,Democrat,2114
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,91,La Paz,county,quintana-e,Green,194
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,99,Greenlee,county,lake-k,Republican,2077
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,99,Greenlee,county,gallego-r,Democrat,1102
Arizona,U.S. Senate,2024-11-11T00:34:23.537Z,99,Greenlee,county,quintana-e,Green,103
California,U.S. Senate,2024-11-11T01:26:00.115Z,71.63,California,state,schiff-a,Democrat,7072269
California,U.S. Senate,2024-11-11T01:26:00.115Z,71.63,California,state,garvey-s,Republican,4993021
California,U.S. Senate,2024-11-11T01:26:00.115Z,80.98,Los Angeles,county,schiff-a,Democrat,2143123
California,U.S. Senate,2024-11-11T01:26:00.115Z,80.98,Los Angeles,county,garvey-s,Republican,1129965
California,U.S. Senate,2024-11-11T01:26:00.115Z,76,San Diego,county,schiff-a,Democrat,673660
California,U.S. Senate,2024-11-11T01:26:00.115Z,76,San Diego,county,garvey-s,Republican,526622
California,U.S. Senate,2024-11-11T01:26:00.115Z,80,Orange,county,garvey-s,Republican,602497
California,U.S. Senate,2024-11-11T01:26:00.115Z,80,Orange,county,schiff-a,Democrat,570024
California,U.S. Senate,2024-11-11T01:26:00.115Z,70,Riverside,county,garvey-s,Republican,365566
California,U.S. Senate,2024-11-11T01:26:00.115Z,70,Riverside,county,schiff-a,Democrat,341952
California,U.S. Senate,2024-11-11T01:26:00.115Z,78.48,Santa Clara,county,schiff-a,Democrat,413414
California,U.S. Senate,2024-11-11T01:26:00.115Z,78.48,Santa Clara,county,garvey-s,Republican,188848
California,U.S. Senate,2024-11-11T01:26:00.115Z,65,San Bernardino,county,garvey-s,Republican,248971
California,U.S. Senate,2024-11-11T01:26:00.115Z,65,San Bernardino,county,schiff-a,Democrat,220766
California,U.S. Senate,2024-11-11T01:26:00.115Z,81,Contra Costa,county,schiff-a,Democrat,289165
California,U.S. Senate,2024-11-11T01:26:00.115Z,81,Contra Costa,county,garvey-s,Republican,139113
California,U.S. Senate,2024-11-11T01:26:00.115Z,58,Sacramento,county,schiff-a,Democrat,230021
California,U.S. Senate,2024-11-11T01:26:00.115Z,58,Sacramento,county,garvey-s,Republican,167725
California,U.S. Senate,2024-11-11T01:26:00.115Z,78.48,San Francisco,county,schiff-a,Democrat,278364
California,U.S. Senate,2024-11-11T01:26:00.115Z,78.48,San Francisco,county,garvey-s,Republican,58556
California,U.S. Senate,2024-11-11T01:26:00.115Z,40,Alameda,county,schiff-a,Democrat,234083
California,U.S. Senate,2024-11-11T01:26:00.115Z,40,Alameda,county,garvey-s,Republican,81610
California,U.S. Senate,2024-11-11T01:26:00.115Z,69,Ventura,county,schiff-a,Democrat,147117
California,U.S. Senate,2024-11-11T01:26:00.115Z,69,Ventura,county,garvey-s,Republican,123899
California,U.S. Senate,2024-11-11T01:26:00.115Z,73.9,Kern,county,garvey-s,Republican,139356
California,U.S. Senate,2024-11-11T01:26:00.115Z,73.9,Kern,county,schiff-a,Democrat,89473
California,U.S. Senate,2024-11-11T01:26:00.115Z,63,San Mateo,county,schiff-a,Democrat,162639
California,U.S. Senate,2024-11-11T01:26:00.115Z,63,San Mateo,county,garvey-s,Republican,60797
California,U.S. Senate,2024-11-11T01:26:00.115Z,64,Fresno,county,garvey-s,Republican,117600
California,U.S. Senate,2024-11-11T01:26:00.115Z,64,Fresno,county,schiff-a,Democrat,95809
California,U.S. Senate,2024-11-11T01:26:00.115Z,87,Solano,county,schiff-a,Democrat,107699
California,U.S. Senate,2024-11-11T01:26:00.115Z,87,Solano,county,garvey-s,Republican,68799
California,U.S. Senate,2024-11-11T01:26:00.115Z,70,Placer,county,garvey-s,Republican,99684
California,U.S. Senate,2024-11-11T01:26:00.115Z,70,Placer,county,schiff-a,Democrat,75517
California,U.S. Senate,2024-11-11T01:26:00.115Z,63,San Joaquin,county,garvey-s,Republican,86166
California,U.S. Senate,2024-11-11T01:26:00.115Z,63,San Joaquin,county,schiff-a,Democrat,82938
California,U.S. Senate,2024-11-11T01:26:00.115Z,59,Sonoma,county,schiff-a,Democrat,120660
California,U.S. Senate,2024-11-11T01:26:00.115Z,59,Sonoma,county,garvey-s,Republican,46545
California,U.S. Senate,2024-11-11T01:26:00.115Z,63,Santa Barbara,county,schiff-a,Democrat,80658
California,U.S. Senate,2024-11-11T01:26:00.115Z,63,Santa Barbara,county,garvey-s,Republican,51055
California,U.S. Senate,2024-11-11T01:26:00.115Z,58,Stanislaus,county,garvey-s,Republican,68960
California,U.S. Senate,2024-11-11T01:26:00.115Z,58,Stanislaus,county,schiff-a,Democrat,53532
California,U.S. Senate,2024-11-11T01:26:00.115Z,93,El Dorado,county,garvey-s,Republican,63013
California,U.S. Senate,2024-11-11T01:26:00.115Z,93,El Dorado,county,schiff-a,Democrat,44492
California,U.S. Senate,2024-11-11T01:26:00.115Z,69,Monterey,county,schiff-a,Democrat,66525
California,U.S. Senate,2024-11-11T01:26:00.115Z,69,Monterey,county,garvey-s,Republican,36442
California,U.S. Senate,2024-11-11T01:26:00.115Z,60.71,Santa Cruz,county,schiff-a,Democrat,77339
California,U.S. Senate,2024-11-11T01:26:00.115Z,60.71,Santa Cruz,county,garvey-s,Republican,24742
