state,county,level,eevp,votes_harris_k_total,votes_harris_k_advance,votes_harris_k_provisional,votes_harris_k_absentee_mail,votes_harris_k_absentee_in_person,votes_harris_k_election_day_in_person,votes_trump_d_total,votes_trump_d_advance,votes_trump_d_provisional,votes_trump_d_absentee_mail,votes_trump_d_absentee_in_person,votes_trump_d_election_day_in_person,total_votes_2024,pct_dem_2024,pct_rep_2024,total_votes_2020,pct_dem_2020,pct_rep_2020
Alabama,Alabama,state,99,769391,NA,NA,NA,NA,NA,1457704,NA,NA,NA,NA,NA,2248337,34.22044826909845,64.83476453930172,2315970,36.685,62.227
Alabama,Jefferson,county,99,161828,NA,NA,NA,NA,NA,130991,NA,NA,NA,NA,NA,296319,54.61276529685913,44.206075209487075,324109,56.058,42.838
Alabama,Madison,county,99,87509,NA,NA,NA,NA,NA,105149,NA,NA,NA,NA,NA,195749,44.70469836372089,53.716238652560165,193765,45.047,53.044
Alabama,Mobile,county,99,71279,NA,NA,NA,NA,NA,99981,NA,NA,NA,NA,NA,172972,41.208403672270656,57.801840760354274,182655,43.51,55.429
Alabama,Baldwin,county,99,24763,NA,NA,NA,NA,NA,95144,NA,NA,NA,NA,NA,120973,20.469856910219637,78.6489547254346,109351,22.476,76.4
Alabama,Shelby,county,99,32947,NA,NA,NA,NA,NA,79522,NA,NA,NA,NA,NA,113758,28.962358691256878,69.90453418660665,114430,29.073,69.65
Alabama,Montgomery,county,99,57734,NA,NA,NA,NA,NA,30404,NA,NA,NA,NA,NA,89088,64.80558548850574,34.12805316091954,98763,65.337,33.728
Alabama,Tuscaloosa,county,99,33322,NA,NA,NA,NA,NA,50617,NA,NA,NA,NA,NA,84695,39.34352677253675,59.763858551272214,89809,42.05,56.917
Alabama,Lee,county,99,25672,NA,NA,NA,NA,NA,45883,NA,NA,NA,NA,NA,72430,35.44387684661052,63.34806019605136,71100,39.184,59.383
Alabama,Morgan,county,99,12343,NA,NA,NA,NA,NA,40310,NA,NA,NA,NA,NA,53181,23.20941689701209,75.79774731577066,53603,24.689,73.996
Alabama,Limestone,county,99,14452,NA,NA,NA,NA,NA,37524,NA,NA,NA,NA,NA,52601,27.474762837208416,71.33704682420486,49060,27.868,70.607
Alabama,Calhoun,county,99,13170,NA,NA,NA,NA,NA,34841,NA,NA,NA,NA,NA,48435,27.191080829978322,71.93351914937546,50870,29.912,69.001
Alabama,Etowah,county,99,9969,NA,NA,NA,NA,NA,35470,NA,NA,NA,NA,NA,45780,21.775884665792923,77.47924858016601,47626,24.287,74.598
Alabama,Houston,county,99,11258,NA,NA,NA,NA,NA,32255,NA,NA,NA,NA,NA,43883,25.65458150080897,73.50226739284005,46068,28.039,70.804
Alabama,Lauderdale,county,99,10299,NA,NA,NA,NA,NA,32615,NA,NA,NA,NA,NA,43332,23.767654389365827,75.26770054463215,44173,26.973,71.811
Alabama,Cullman,county,99,4033,NA,NA,NA,NA,NA,38669,NA,NA,NA,NA,NA,43010,9.376889095559171,89.90699837247152,41776,10.719,88.28
Alabama,St. Clair,county,99,7483,NA,NA,NA,NA,NA,34873,NA,NA,NA,NA,NA,42644,17.547603414313855,81.77703780133196,44356,17.459,81.536
Alabama,Elmore,county,99,9764,NA,NA,NA,NA,NA,31336,NA,NA,NA,NA,NA,41443,23.560070458219723,75.61228675530246,40929,25.329,73.698
Alabama,Marshall,county,99,5535,NA,NA,NA,NA,NA,34350,NA,NA,NA,NA,NA,40174,13.777567581022552,85.50306168168467,39569,15.019,83.881
Alabama,Talladega,county,99,10878,NA,NA,NA,NA,NA,22070,NA,NA,NA,NA,NA,33125,32.83924528301887,66.62641509433962,35620,36.884,62.423
Alabama,Walker,county,99,4092,NA,NA,NA,NA,NA,25393,NA,NA,NA,NA,NA,29665,13.794033372661385,85.5991909657846,31113,15.537,83.573
Alabama,DeKalb,county,99,3757,NA,NA,NA,NA,NA,25631,NA,NA,NA,NA,NA,29580,12.701149425287356,86.6497633536173,29298,14.612,84.535
Alabama,Autauga,county,99,7429,NA,NA,NA,NA,NA,20447,NA,NA,NA,NA,NA,28139,26.40108035111411,72.66427378371655,27691,27.095,71.641
Alabama,Blount,county,99,2569,NA,NA,NA,NA,NA,25271,NA,NA,NA,NA,NA,28024,9.167142449329146,90.17627747644876,27560,9.579,89.663
Alabama,Colbert,county,99,7092,NA,NA,NA,NA,NA,19614,NA,NA,NA,NA,NA,26940,26.325167037861917,72.80623608017818,27818,29.991,69.031
Alabama,Jackson,county,99,3274,NA,NA,NA,NA,NA,20073,NA,NA,NA,NA,NA,23507,13.927766197302931,85.39158548517463,23595,15.753,83.365
Alabama,Coffee,county,99,4585,NA,NA,NA,NA,NA,17457,NA,NA,NA,NA,NA,22214,20.640136850634736,78.58557666336544,22239,22.825,75.988
Alabama,Russell,county,99,10379,NA,NA,NA,NA,NA,10047,NA,NA,NA,NA,NA,20604,50.37371384197243,48.76237623762376,21290,52.738,46.332
Alabama,Tallapoosa,county,99,4974,NA,NA,NA,NA,NA,14881,NA,NA,NA,NA,NA,19976,24.899879855826992,74.49439327192631,20952,27.964,71.416
Alabama,Chilton,county,99,2697,NA,NA,NA,NA,NA,16901,NA,NA,NA,NA,NA,19708,13.684798051552669,85.75705297341182,19281,15.938,83.424
Alabama,Dale,county,99,4478,NA,NA,NA,NA,NA,14473,NA,NA,NA,NA,NA,19095,23.451165226499082,75.79471065724012,19706,26.236,72.582
