state,url,update_time,eevp,votes_harris_k,votes_trump_d,total_votes_2024,pct_dem_2024,pct_rep_2024,total_votes_2020,pct_dem_2020,pct_rep_2020
AL-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-alabama-president.html,2024-11-06T20:52:02.682Z,99,768974,1456985,2247188,34.219388853981066,64.83591938013197,2315970,36.685,62.227
AK-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-alaska-president.html,2024-11-07T00:12:21.018Z,76.29,102969,141470,254671,40.43216542126901,55.550101896171924,357569,43.007,53.123
AZ-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-arizona-president.html,2024-11-07T17:42:17.716Z,69.2,1167898,1303793,2494551,46.817964435283145,52.265638184988,3385294,49.394,49.085
AR-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-arkansas-president.html,2024-11-07T16:07:59.772Z,99,395815,758573,1180854,33.51938512297033,64.23935558502575,1219069,34.775,62.396
CA-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-california-president.html,2024-11-07T04:25:10.409Z,55.32,5750004,4023693,10035608,57.296020330806066,40.09416270543848,17496800,63.499,34.329
CO-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-colorado-president.html,2024-11-07T16:13:44.143Z,77.39,1466671,1159737,2691855,54.485512778362875,43.083189844921066,3256952,55.4,41.898
CT-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-connecticut-president.html,2024-11-07T17:45:57.182Z,96.98,962808,725972,1717620,56.05477346560939,42.26615898743611,1823316,59.278,39.199
DE-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-delaware-president.html,2024-11-06T22:25:33.088Z,99,289585,214184,511353,56.631133483132004,41.88574233455167,504010,58.782,39.801
FL-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-florida-president.html,2024-11-07T15:32:40.103Z,99,4676871,6103182,10880168,42.985282947836836,56.09455662816971,11066401,47.866,51.225
GA-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-georgia-president.html,2024-11-07T17:35:06.642Z,98.37,2541270,2657178,5237275,48.52275276742199,50.73588841525412,4997716,49.495,49.26
HI-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-hawaii-president.html,2024-11-07T15:18:43.410Z,99,312384,193169,515508,60.59731371773086,37.471581430356075,574469,63.734,34.269
ID-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-idaho-president.html,2024-11-07T17:42:57.403Z,99,271287,599617,895256,30.302729051801943,66.97715513774831,867281,33.094,63.892
IL-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-illinois-president.html,2024-11-07T17:31:41.197Z,95.87,2844556,2394105,5314980,53.51959932116396,45.044478060124405,6033438,57.545,40.556
IN-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-indiana-president.html,2024-11-07T17:04:59.582Z,94.93,1136416,1690078,2875537,39.52013137024493,58.77434371388718,3031167,40.988,57.058
IA-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-iowa-president.html,2024-11-07T16:13:34.488Z,98.94,705310,924143,1652025,42.693663836806344,55.940013014330894,1686534,45.007,53.226
KS-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-kansas-president.html,2024-11-07T17:29:04.539Z,99,524044,736912,1283885,40.81705137142345,57.397041012240194,1372303,41.56,56.213
KY-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-kentucky-president.html,2024-11-07T14:17:57.454Z,98.21,700606,1335516,2067816,33.881447865767555,64.58582388374981,2135436,36.174,62.125
LA-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-louisiana-president.html,2024-11-07T15:34:12.197Z,99,766405,1208233,2006224,38.20136734482291,60.2242321894265,2148062,39.851,58.461
